Order_ID,Order_Date,Day_Name,Time_Slot,Order_Type,Customer_ID,Customer_Type,Visit_Count_Week,Section,Item_Name,Category,Quantity,Unit_Price,Unit_Cost,Payment_Method,Discount_Applied,Discount_Percent,Wait_Time_Minutes,Staff_Shift
100015,12/24/2025,Wednesday,Night,Dine-In,C0318,Repeat,4,Sweet Section,Gulab Jamun,Dessert,3,200,120,Online,Yes,10,17,Evening
100016,1/4/2026,Sunday,Afternoon,Dine-In,C1978,New,1,Sweet Section,Custard,Dessert,2,150,100,Card,No,0,15,Morning
100017,11/20/2025,Thursday,Evening,Takeaway,C0962,Repeat,2,BBQ,Beef Kebab,BBQ,4,200,140,Card,No,5,13,Evening
100018,12/20/2025,Saturday,Evening,Takeaway,C2071,Repeat,5,BBQ,Beef Boti,BBQ,3,700,520,Online,No,10,11,Night
100019,12/14/2025,Sunday,Night,Takeaway,C2394,Repeat,5,Desi Food,Chicken White Karahi,Main Course,3,1950,1200,Online,Yes,0,28,Evening
100020,11/2/2025,Sunday,Evening,Takeaway,C0120,Repeat,5,BBQ,Chicken Malai Boti,BBQ,1,520,350,Cash,No,15,23,Morning
100021,1/3/2026,Saturday,Afternoon,Dine-In,C1401,Repeat,2,BBQ,Chicken Boti,BBQ,2,480,310,Card,Yes,5,26,Night
100022,12/1/2025,Monday,Night,Takeaway,C2022,New,1,BBQ,Chicken Malai Boti,BBQ,2,520,350,Cash,Yes,15,13,Night
100023,11/11/2025,Tuesday,Night,Takeaway,C0050,Repeat,3,Juice Bar,Mango Juice,Drink,1,250,90,Card,Yes,5,8,Evening
100024,10/11/2025,Saturday,Morning,Dine-In,C1549,Repeat,5,Juice Bar,Fresh Lime Soda,Drink,2,180,70,Card,Yes,0,21,Night
100025,12/19/2025,Friday,Night,Takeaway,C2642,Repeat,5,Desi Food,Daal Mash,Main Course,1,600,400,Card,No,15,26,Evening
100026,1/22/2026,Thursday,Night,Dine-In,C1474,Repeat,3,Juice Bar,Strawberry Shake,Drink,1,280,170,Cash,Yes,10,29,Night
100027,11/20/2025,Thursday,Evening,Dine-In,C0708,Repeat,4,BBQ,Chicken Boti,BBQ,3,480,310,Cash,Yes,0,8,Evening
100028,1/3/2026,Saturday,Evening,Dine-In,C2390,Repeat,3,Juice Bar,Pomegranate Juice,Drink,2,350,160,Cash,No,15,27,Evening
100029,1/25/2026,Sunday,Afternoon,Dine-In,C1906,Repeat,6,Juice Bar,Fresh Lime Soda,Drink,1,180,70,Cash,No,15,20,Morning
100030,10/31/2025,Friday,Night,Takeaway,C1129,Repeat,5,Desi Food,Daal Chana,Main Course,2,550,360,Cash,Yes,5,18,Evening
100031,11/25/2025,Tuesday,Night,Dine-In,C0127,Repeat,6,Juice Bar,Banana Shake,Drink,5,220,150,Online,Yes,10,24,Evening
100032,10/18/2025,Saturday,Afternoon,Takeaway,C0035,Repeat,2,Sweet Section,Custard,Dessert,4,150,100,Online,No,0,17,Night
100033,1/21/2026,Wednesday,Evening,Dine-In,C0526,Repeat,3,Sweet Section,Gulab Jamun,Dessert,4,200,120,Online,Yes,15,19,Morning
100034,1/21/2026,Wednesday,Night,Dine-In,C2531,Repeat,4,Desi Food,Chicken White Karahi,Main Course,2,1950,1200,Cash,Yes,5,11,Night
100035,11/28/2025,Friday,Evening,Takeaway,C1488,Repeat,6,Sweet Section,Kheer,Dessert,4,180,140,Card,No,5,15,Evening
100036,10/4/2025,Saturday,Evening,Takeaway,C0634,Repeat,5,Juice Bar,Orange Juice,Drink,1,220,80,Card,Yes,15,4,Evening
100037,11/10/2025,Monday,Afternoon,Dine-In,C0318,Repeat,4,Sweet Section,Gulab Jamun,Dessert,4,200,120,Online,No,0,8,Evening
100038,1/25/2026,Sunday,Evening,Dine-In,C1609,New,1,Juice Bar,Mango Juice,Drink,4,250,90,Online,Yes,5,18,Evening
100039,10/22/2025,Wednesday,Night,Takeaway,C0667,Repeat,2,Sweet Section,Custard,Dessert,1,150,100,Card,No,10,17,Evening
100040,1/19/2026,Monday,Afternoon,Takeaway,C0857,New,1,Juice Bar,Fresh Lime Soda,Drink,4,180,70,Online,Yes,10,30,Evening
100041,12/22/2025,Monday,Night,Takeaway,C1274,New,1,BBQ,Beef Boti,BBQ,3,700,520,Online,Yes,15,17,Night
100042,10/11/2025,Saturday,Evening,Takeaway,C1917,Repeat,5,BBQ,Chicken Tikka,BBQ,4,450,280,Online,Yes,5,8,Evening
100043,11/13/2025,Thursday,Evening,Takeaway,C1591,Repeat,3,Juice Bar,Orange Juice,Drink,3,220,80,Cash,Yes,0,4,Evening
100044,10/18/2025,Saturday,Morning,Takeaway,C0872,New,1,Sweet Section,Custard,Dessert,4,150,100,Card,No,0,4,Evening
100045,11/24/2025,Monday,Night,Dine-In,C2915,Repeat,5,Sweet Section,Custard,Dessert,2,150,100,Cash,No,5,25,Evening
100046,10/10/2025,Friday,Night,Dine-In,C0276,Repeat,5,Sweet Section,Gulab Jamun,Dessert,4,200,120,Online,Yes,10,14,Morning
100047,12/19/2025,Friday,Night,Dine-In,C2235,Repeat,2,Juice Bar,Mango Juice,Drink,5,250,90,Cash,Yes,10,17,Evening
100048,10/20/2025,Monday,Afternoon,Takeaway,C0267,Repeat,4,Juice Bar,Fresh Lime Soda,Drink,5,180,70,Card,No,0,26,Evening
100049,10/31/2025,Friday,Evening,Takeaway,C0215,Repeat,2,BBQ,Beef Boti,BBQ,1,700,520,Card,Yes,15,24,Night
100050,12/4/2025,Thursday,Night,Dine-In,C0280,Repeat,2,Sweet Section,Custard,Dessert,3,150,100,Online,Yes,5,8,Morning
100051,10/20/2025,Monday,Afternoon,Takeaway,C2851,Repeat,2,Juice Bar,Mango Juice,Drink,3,250,90,Online,No,5,9,Evening
100052,11/4/2025,Tuesday,Night,Takeaway,C0615,Repeat,3,Desi Food,Mutton Karahi,Main Course,4,3200,2200,Cash,No,5,4,Night
100053,1/20/2026,Tuesday,Evening,Takeaway,C1317,Repeat,5,Sweet Section,Gulab Jamun,Dessert,4,200,120,Online,Yes,0,19,Night
100054,10/28/2025,Tuesday,Morning,Dine-In,C1001,Repeat,2,Juice Bar,Strawberry Shake,Drink,5,280,170,Online,No,5,21,Morning
100055,10/10/2025,Friday,Morning,Takeaway,C0161,Repeat,2,Sweet Section,Ras Malai,Dessert,4,260,180,Card,No,15,16,Night
100056,11/2/2025,Sunday,Evening,Dine-In,C1745,Repeat,6,Juice Bar,Pomegranate Juice,Drink,3,350,160,Cash,Yes,10,21,Morning
100057,11/30/2025,Sunday,Night,Takeaway,C2221,Repeat,5,Sweet Section,Ras Malai,Dessert,3,260,180,Cash,No,10,27,Night
100058,11/14/2025,Friday,Night,Dine-In,C2277,Repeat,5,Juice Bar,Orange Juice,Drink,1,220,80,Online,No,10,28,Evening
100059,11/21/2025,Friday,Evening,Takeaway,C0650,Repeat,6,Desi Food,Beef Nihari,Main Course,2,1400,950,Card,No,0,8,Night
100060,12/17/2025,Wednesday,Night,Dine-In,C1729,New,1,Juice Bar,Mango Juice,Drink,4,250,90,Cash,No,15,20,Morning
100061,11/28/2025,Friday,Night,Takeaway,C2887,Repeat,5,Sweet Section,Ras Malai,Dessert,1,260,180,Cash,Yes,15,30,Evening
100062,1/13/2026,Tuesday,Afternoon,Dine-In,C2794,Repeat,5,Desi Food,Daal Chana,Main Course,1,550,360,Cash,No,15,20,Evening
100063,10/29/2025,Wednesday,Afternoon,Dine-In,C0506,Repeat,2,Desi Food,Beef Nihari,Main Course,3,1400,950,Card,No,10,22,Evening
100064,11/21/2025,Friday,Night,Dine-In,C1879,Repeat,6,BBQ,Beef Kebab,BBQ,1,200,140,Online,No,5,15,Night
100065,1/23/2026,Friday,Evening,Dine-In,C0055,Repeat,5,BBQ,Chicken Malai Boti,BBQ,1,520,350,Cash,Yes,0,16,Night
100066,12/14/2025,Sunday,Night,Takeaway,C2459,Repeat,6,BBQ,Seekh Kebab,BBQ,3,180,110,Online,No,10,21,Morning
100067,11/15/2025,Saturday,Night,Dine-In,C1945,Repeat,5,Sweet Section,Gulab Jamun,Dessert,1,200,120,Cash,Yes,5,26,Evening
100068,1/8/2026,Thursday,Evening,Takeaway,C2311,Repeat,4,Juice Bar,Pomegranate Juice,Drink,2,350,160,Cash,Yes,5,24,Morning
100069,12/22/2025,Monday,Evening,Takeaway,C1993,New,1,Desi Food,Daal Mash,Main Course,4,600,400,Card,Yes,5,26,Evening
100070,1/9/2026,Friday,Morning,Dine-In,C1218,Repeat,4,BBQ,Chicken Malai Boti,BBQ,4,520,350,Card,Yes,5,19,Morning
100071,10/12/2025,Sunday,Evening,Dine-In,C2836,Repeat,2,Juice Bar,Orange Juice,Drink,1,220,80,Online,No,0,9,Evening
100072,11/24/2025,Monday,Night,Takeaway,C2608,Repeat,2,Desi Food,Chicken Karahi,Main Course,1,1800,1100,Cash,No,15,17,Morning
100073,10/2/2025,Thursday,Afternoon,Takeaway,C0357,Repeat,2,Desi Food,Chicken Handi,Main Course,3,1600,1050,Cash,No,15,13,Evening
100074,10/16/2025,Thursday,Afternoon,Dine-In,C1154,Repeat,3,Sweet Section,Ras Malai,Dessert,2,260,180,Cash,No,0,22,Morning
100075,10/5/2025,Sunday,Night,Takeaway,C0661,Repeat,6,BBQ,Chicken Boti,BBQ,1,480,310,Online,No,5,12,Night
100076,1/4/2026,Sunday,Evening,Takeaway,C1389,Repeat,3,Juice Bar,Strawberry Shake,Drink,1,280,170,Cash,No,10,27,Night
100077,11/24/2025,Monday,Evening,Takeaway,C0262,Repeat,5,Sweet Section,Ras Malai,Dessert,1,260,180,Online,Yes,0,16,Evening
100078,11/23/2025,Sunday,Afternoon,Takeaway,C0899,Repeat,3,Desi Food,Chicken White Karahi,Main Course,1,1950,1200,Card,No,5,30,Evening
100079,12/7/2025,Sunday,Evening,Dine-In,C0721,Repeat,6,Sweet Section,Kheer,Dessert,4,180,140,Card,Yes,5,23,Evening
100080,1/11/2026,Sunday,Afternoon,Dine-In,C2153,Repeat,3,Sweet Section,Custard,Dessert,3,150,100,Cash,Yes,10,17,Evening
100081,1/14/2026,Wednesday,Evening,Dine-In,C1175,Repeat,3,Juice Bar,Banana Shake,Drink,5,220,150,Cash,No,0,16,Morning
100082,12/29/2025,Monday,Evening,Dine-In,C0536,Repeat,2,Sweet Section,Custard,Dessert,4,150,100,Online,No,10,18,Night
100083,11/16/2025,Sunday,Evening,Takeaway,C0904,Repeat,5,Sweet Section,Kheer,Dessert,1,180,140,Cash,No,10,20,Evening
100084,10/14/2025,Tuesday,Afternoon,Dine-In,C2524,Repeat,6,Sweet Section,Ras Malai,Dessert,5,260,180,Cash,No,5,5,Evening
100085,1/5/2026,Monday,Night,Dine-In,C0821,Repeat,5,BBQ,Beef Kebab,BBQ,3,200,140,Card,No,0,8,Night
100086,1/9/2026,Friday,Morning,Takeaway,C2984,Repeat,5,BBQ,Beef Boti,BBQ,5,700,520,Card,Yes,10,22,Morning
100087,1/16/2026,Friday,Evening,Dine-In,C2893,Repeat,4,BBQ,Seekh Kebab,BBQ,5,180,110,Card,Yes,5,23,Night
100088,10/8/2025,Wednesday,Evening,Dine-In,C1053,Repeat,3,Sweet Section,Gajar Halwa,Dessert,2,300,210,Online,Yes,0,27,Evening
100089,12/16/2025,Tuesday,Night,Dine-In,C0290,Repeat,4,Juice Bar,Pomegranate Juice,Drink,3,350,160,Cash,No,5,25,Morning
100090,10/30/2025,Thursday,Morning,Dine-In,C2616,Repeat,6,Desi Food,Chicken Karahi,Main Course,2,1800,1100,Online,No,0,25,Morning
100091,1/8/2026,Thursday,Evening,Takeaway,C0613,Repeat,4,Desi Food,Chicken White Karahi,Main Course,2,1950,1200,Card,Yes,0,4,Night
100092,11/8/2025,Saturday,Night,Dine-In,C1868,Repeat,3,BBQ,Seekh Kebab,BBQ,4,180,110,Cash,Yes,0,28,Evening
100093,12/15/2025,Monday,Night,Dine-In,C1078,Repeat,4,Sweet Section,Gulab Jamun,Dessert,3,200,120,Card,No,0,11,Night
100094,10/18/2025,Saturday,Night,Takeaway,C0280,Repeat,2,Desi Food,Chicken Karahi,Main Course,5,1800,1100,Online,Yes,5,30,Night
100095,12/13/2025,Saturday,Morning,Takeaway,C2794,Repeat,3,Juice Bar,Mango Juice,Drink,3,250,90,Cash,No,15,13,Evening
100096,10/1/2025,Wednesday,Evening,Dine-In,C1577,Repeat,2,Desi Food,Beef Nihari,Main Course,4,1400,950,Card,Yes,5,17,Night
100097,10/18/2025,Saturday,Night,Takeaway,C0984,Repeat,5,Juice Bar,Pomegranate Juice,Drink,4,350,160,Card,Yes,15,18,Night
100098,11/19/2025,Wednesday,Afternoon,Dine-In,C2098,New,1,BBQ,Chicken Tikka,BBQ,4,450,280,Online,No,0,5,Night
100099,1/28/2026,Wednesday,Night,Dine-In,C1524,Repeat,6,BBQ,Beef Boti,BBQ,3,700,520,Online,Yes,15,14,Evening
100100,1/2/2026,Friday,Night,Dine-In,C0193,Repeat,6,BBQ,Chicken Boti,BBQ,1,480,310,Cash,Yes,0,7,Evening
100101,11/1/2025,Saturday,Afternoon,Takeaway,C1079,Repeat,5,Sweet Section,Ras Malai,Dessert,5,260,180,Card,No,10,17,Night
100102,12/30/2025,Tuesday,Night,Dine-In,C2225,Repeat,3,BBQ,Beef Kebab,BBQ,3,200,140,Card,No,0,28,Evening
100103,1/29/2026,Thursday,Afternoon,Dine-In,C1095,Repeat,5,Juice Bar,Pomegranate Juice,Drink,5,350,160,Cash,No,15,23,Evening
100104,10/15/2025,Wednesday,Evening,Takeaway,C0708,Repeat,4,BBQ,Chicken Boti,BBQ,4,480,310,Cash,No,0,16,Evening
100105,11/19/2025,Wednesday,Afternoon,Dine-In,C2463,New,1,Sweet Section,Gajar Halwa,Dessert,4,300,210,Card,No,15,14,Night
100106,12/27/2025,Saturday,Afternoon,Dine-In,C1708,Repeat,6,Juice Bar,Orange Juice,Drink,5,220,80,Online,No,10,8,Evening
100107,11/3/2025,Monday,Afternoon,Dine-In,C2448,Repeat,3,Juice Bar,Orange Juice,Drink,5,220,80,Card,No,0,12,Evening
100108,12/30/2025,Tuesday,Morning,Dine-In,C1524,Repeat,6,Juice Bar,Orange Juice,Drink,4,220,80,Online,Yes,15,19,Evening
100109,1/21/2026,Wednesday,Evening,Takeaway,C1934,Repeat,5,BBQ,Chicken Boti,BBQ,3,480,310,Card,No,5,30,Night
100110,12/29/2025,Monday,Evening,Takeaway,C0670,Repeat,2,Sweet Section,Ras Malai,Dessert,4,260,180,Card,Yes,5,20,Morning
100111,12/8/2025,Monday,Night,Dine-In,C2047,New,1,Juice Bar,Pomegranate Juice,Drink,1,350,160,Online,Yes,10,6,Evening
100112,10/12/2025,Sunday,Evening,Takeaway,C2285,Repeat,6,Desi Food,Daal Mash,Main Course,4,600,400,Card,No,15,21,Evening
100113,11/9/2025,Sunday,Morning,Dine-In,C1709,Repeat,2,BBQ,Chicken Malai Boti,BBQ,2,520,350,Online,No,10,25,Evening
100114,1/20/2026,Tuesday,Evening,Dine-In,C0997,Repeat,3,Sweet Section,Custard,Dessert,1,150,100,Card,No,5,11,Morning
100115,12/7/2025,Sunday,Night,Takeaway,C1129,Repeat,4,BBQ,Beef Kebab,BBQ,4,200,140,Card,Yes,0,28,Night
100116,12/15/2025,Monday,Night,Takeaway,C0529,Repeat,5,Juice Bar,Fresh Lime Soda,Drink,4,180,70,Cash,No,0,17,Morning
100117,11/5/2025,Wednesday,Night,Takeaway,C2589,Repeat,6,Desi Food,Daal Mash,Main Course,3,600,400,Online,Yes,15,9,Night
100118,11/23/2025,Sunday,Night,Takeaway,C2539,Repeat,2,Juice Bar,Banana Shake,Drink,1,220,150,Online,Yes,10,13,Morning
100119,10/6/2025,Monday,Afternoon,Takeaway,C1465,New,1,Juice Bar,Fresh Lime Soda,Drink,3,180,70,Card,No,5,23,Evening
100120,1/22/2026,Thursday,Evening,Dine-In,C1917,New,1,Juice Bar,Strawberry Shake,Drink,3,280,170,Online,No,0,18,Evening
100121,10/11/2025,Saturday,Evening,Takeaway,C2832,Repeat,3,Desi Food,Mix Vegetable,Main Course,5,650,420,Cash,No,5,27,Evening
100122,12/19/2025,Friday,Evening,Dine-In,C2859,Repeat,4,Sweet Section,Gajar Halwa,Dessert,4,300,210,Cash,No,5,23,Evening
100123,12/3/2025,Wednesday,Night,Takeaway,C1218,Repeat,4,Desi Food,Mix Vegetable,Main Course,2,650,420,Online,Yes,0,20,Night
100124,11/8/2025,Saturday,Night,Takeaway,C0020,Repeat,6,BBQ,Chicken Tikka,BBQ,4,450,280,Card,No,5,15,Morning
100125,11/1/2025,Saturday,Evening,Dine-In,C2949,Repeat,4,Desi Food,Daal Chana,Main Course,1,550,360,Online,No,0,17,Night
100126,12/12/2025,Friday,Afternoon,Takeaway,C0785,Repeat,3,Desi Food,Daal Mash,Main Course,2,600,400,Cash,Yes,15,12,Night
100127,12/8/2025,Monday,Evening,Takeaway,C1502,Repeat,2,Juice Bar,Orange Juice,Drink,2,220,80,Online,No,15,19,Morning
100128,1/10/2026,Saturday,Evening,Takeaway,C2584,Repeat,5,Juice Bar,Strawberry Shake,Drink,2,280,170,Cash,Yes,5,23,Morning
100129,12/3/2025,Wednesday,Evening,Dine-In,C2700,New,1,BBQ,Chicken Tikka,BBQ,2,450,280,Card,No,15,7,Night
100130,10/9/2025,Thursday,Evening,Dine-In,C0993,Repeat,2,Desi Food,Chicken Karahi,Main Course,5,1800,1100,Online,No,0,7,Evening
100131,12/9/2025,Tuesday,Afternoon,Takeaway,C0830,Repeat,6,BBQ,Chicken Tikka,BBQ,1,450,280,Online,No,5,11,Evening
100132,1/3/2026,Saturday,Night,Dine-In,C1763,Repeat,3,Sweet Section,Kheer,Dessert,1,180,140,Cash,No,15,8,Night
100133,11/6/2025,Thursday,Night,Dine-In,C2227,Repeat,2,BBQ,Chicken Boti,BBQ,5,480,310,Card,Yes,15,4,Night
100134,10/6/2025,Monday,Night,Takeaway,C0443,Repeat,3,Sweet Section,Kheer,Dessert,2,180,140,Cash,Yes,5,9,Night
100135,10/5/2025,Sunday,Morning,Dine-In,C2187,Repeat,5,BBQ,Chicken Boti,BBQ,1,480,310,Card,No,5,14,Morning
100136,11/14/2025,Friday,Afternoon,Takeaway,C2794,Repeat,2,Juice Bar,Strawberry Shake,Drink,1,280,170,Cash,Yes,0,20,Night
100137,1/23/2026,Friday,Night,Takeaway,C1318,Repeat,5,Sweet Section,Ras Malai,Dessert,5,260,180,Online,Yes,0,16,Morning
100138,11/24/2025,Monday,Night,Takeaway,C1586,Repeat,5,BBQ,Beef Kebab,BBQ,2,200,140,Online,No,0,25,Morning
100139,11/9/2025,Sunday,Evening,Dine-In,C2917,Repeat,6,BBQ,Beef Kebab,BBQ,3,200,140,Online,Yes,5,14,Night
100140,10/20/2025,Monday,Night,Takeaway,C2933,New,1,BBQ,Chicken Tikka,BBQ,4,450,280,Online,No,5,29,Evening
100141,12/7/2025,Sunday,Evening,Dine-In,C0765,Repeat,3,BBQ,Seekh Kebab,BBQ,5,180,110,Card,No,15,19,Morning
100142,1/22/2026,Thursday,Night,Takeaway,C1214,Repeat,5,Sweet Section,Custard,Dessert,2,150,100,Cash,No,10,28,Morning
100143,10/3/2025,Friday,Afternoon,Takeaway,C1032,Repeat,4,Juice Bar,Fresh Lime Soda,Drink,1,180,70,Online,No,5,26,Evening
100144,12/26/2025,Friday,Night,Takeaway,C0646,Repeat,4,Sweet Section,Kheer,Dessert,3,180,140,Cash,Yes,5,4,Evening
100145,10/1/2025,Wednesday,Night,Dine-In,C1441,Repeat,3,BBQ,Beef Kebab,BBQ,4,200,140,Online,Yes,10,21,Night
100146,10/4/2025,Saturday,Afternoon,Takeaway,C1339,Repeat,5,BBQ,Chicken Boti,BBQ,5,480,310,Online,No,15,17,Night
100147,1/27/2026,Tuesday,Evening,Takeaway,C1702,Repeat,6,BBQ,Beef Boti,BBQ,5,700,520,Online,No,5,21,Morning
100148,10/6/2025,Monday,Afternoon,Dine-In,C0901,Repeat,5,Sweet Section,Gulab Jamun,Dessert,2,200,120,Card,Yes,0,24,Night
100149,10/16/2025,Thursday,Evening,Takeaway,C2998,Repeat,5,Juice Bar,Banana Shake,Drink,3,220,150,Card,Yes,0,18,Morning
100150,10/4/2025,Saturday,Night,Dine-In,C2098,Repeat,3,Desi Food,Mix Vegetable,Main Course,1,650,420,Cash,Yes,10,15,Morning
100151,11/26/2025,Wednesday,Evening,Dine-In,C0360,New,1,BBQ,Chicken Tikka,BBQ,2,450,280,Card,Yes,0,15,Evening
100152,1/17/2026,Saturday,Night,Takeaway,C2607,Repeat,5,Desi Food,Mutton Karahi,Main Course,4,3200,2200,Online,Yes,5,24,Morning
100153,11/11/2025,Tuesday,Evening,Dine-In,C0268,Repeat,6,Sweet Section,Gajar Halwa,Dessert,3,300,210,Card,Yes,0,18,Evening
100154,12/3/2025,Wednesday,Night,Takeaway,C1263,Repeat,6,BBQ,Chicken Tikka,BBQ,1,450,280,Cash,No,5,20,Morning
100155,10/6/2025,Monday,Evening,Dine-In,C0720,Repeat,3,Desi Food,Chicken Handi,Main Course,4,1600,1050,Card,Yes,15,28,Evening
100156,10/28/2025,Tuesday,Afternoon,Takeaway,C0755,Repeat,6,Sweet Section,Custard,Dessert,3,150,100,Online,No,5,9,Morning
100157,1/26/2026,Monday,Evening,Takeaway,C1698,Repeat,4,BBQ,Chicken Tikka,BBQ,1,450,280,Online,No,0,29,Morning
100158,1/10/2026,Saturday,Night,Dine-In,C1948,Repeat,4,BBQ,Beef Kebab,BBQ,1,200,140,Online,No,0,27,Evening
100159,10/9/2025,Thursday,Afternoon,Dine-In,C0780,Repeat,6,Sweet Section,Gulab Jamun,Dessert,5,200,120,Card,No,10,27,Morning
100160,1/6/2026,Tuesday,Evening,Dine-In,C1753,Repeat,2,BBQ,Chicken Malai Boti,BBQ,1,520,350,Online,Yes,5,8,Evening
100161,12/24/2025,Wednesday,Afternoon,Takeaway,C1948,Repeat,2,BBQ,Beef Boti,BBQ,3,700,520,Online,No,5,23,Morning
100162,11/30/2025,Sunday,Night,Takeaway,C0419,New,1,Juice Bar,Orange Juice,Drink,2,220,80,Card,No,15,15,Morning
100163,1/20/2026,Tuesday,Evening,Takeaway,C0799,New,1,Juice Bar,Strawberry Shake,Drink,3,280,170,Card,No,10,24,Night
100164,10/5/2025,Sunday,Night,Takeaway,C2229,Repeat,6,Desi Food,Chicken Handi,Main Course,5,1600,1050,Card,No,10,28,Night
100165,11/12/2025,Wednesday,Morning,Dine-In,C2872,New,1,Juice Bar,Banana Shake,Drink,2,220,150,Online,No,0,23,Morning
100166,1/11/2026,Sunday,Night,Takeaway,C0391,Repeat,3,Juice Bar,Fresh Lime Soda,Drink,4,180,70,Cash,No,10,20,Night
100167,1/21/2026,Wednesday,Night,Dine-In,C0383,Repeat,4,Juice Bar,Orange Juice,Drink,4,220,80,Cash,No,15,7,Night
100168,12/16/2025,Tuesday,Evening,Dine-In,C0282,Repeat,2,BBQ,Beef Boti,BBQ,3,700,520,Online,No,0,28,Morning
100169,10/10/2025,Friday,Evening,Takeaway,C0820,Repeat,5,Sweet Section,Gajar Halwa,Dessert,5,300,210,Card,No,15,26,Night
100170,10/10/2025,Friday,Night,Dine-In,C1038,Repeat,6,BBQ,Seekh Kebab,BBQ,5,180,110,Card,No,10,28,Morning
100171,12/30/2025,Tuesday,Evening,Takeaway,C0691,Repeat,6,BBQ,Beef Kebab,BBQ,1,200,140,Cash,No,15,4,Night
100172,1/21/2026,Wednesday,Afternoon,Dine-In,C1825,Repeat,5,BBQ,Beef Boti,BBQ,2,700,520,Cash,No,10,28,Morning
100173,12/4/2025,Thursday,Morning,Dine-In,C1205,New,1,Desi Food,Chicken Handi,Main Course,1,1600,1050,Online,Yes,10,7,Morning
100174,12/2/2025,Tuesday,Morning,Dine-In,C1968,Repeat,4,Juice Bar,Banana Shake,Drink,4,220,150,Online,No,0,16,Morning
100175,12/8/2025,Monday,Night,Dine-In,C1851,Repeat,4,Juice Bar,Banana Shake,Drink,1,220,150,Card,Yes,10,11,Morning
100176,12/22/2025,Monday,Night,Takeaway,C0427,Repeat,2,Sweet Section,Kheer,Dessert,1,180,140,Card,Yes,0,9,Morning
100177,1/11/2026,Sunday,Evening,Takeaway,C0731,Repeat,4,Juice Bar,Banana Shake,Drink,1,220,150,Card,Yes,5,30,Evening
100178,1/15/2026,Thursday,Afternoon,Takeaway,C0828,Repeat,5,Desi Food,Daal Chana,Main Course,2,550,360,Cash,Yes,5,19,Night
100179,11/25/2025,Tuesday,Afternoon,Takeaway,C0247,New,1,Juice Bar,Mango Juice,Drink,1,250,90,Cash,Yes,15,7,Morning
100180,11/20/2025,Thursday,Evening,Dine-In,C0728,Repeat,3,BBQ,Chicken Malai Boti,BBQ,4,520,350,Card,Yes,10,27,Morning
100181,12/8/2025,Monday,Evening,Takeaway,C1877,Repeat,4,BBQ,Chicken Boti,BBQ,4,480,310,Card,No,15,30,Morning
100182,11/26/2025,Wednesday,Evening,Dine-In,C1635,Repeat,5,Desi Food,Daal Chana,Main Course,5,550,360,Cash,Yes,10,16,Morning
100183,10/10/2025,Friday,Evening,Dine-In,C1397,Repeat,5,Juice Bar,Orange Juice,Drink,3,220,80,Card,Yes,10,25,Night
